protein_ac,gene_name,protein_name,entrez_id
Q14686,NCOA6,Nuclear receptor coactivator 6,23054
Q2M2I5,KRT24,Keratin,192666
P47710,CSN1S1,Alpha-S1-casein,1446
P24394,IL4R,Interleukin-4 receptor subunit alpha,3566
Q6UXH8,CCBE1,Collagen and calcium-binding EGF domain-containing protein 1,147372
Q9H089,LSG1,Large subunit GTPase 1 homolog,55341
Q9GZP4,PITHD1,PITH domain-containing protein 1,57095
P10153,RNASE2,Non-secretory ribonuclease,6036
Q96LR7,C2orf50,Uncharacterized protein C2orf50,130813
Q13402,MYO7A,Unconventional myosin-VIIa,4647
Q9H5I1,SUV39H2,Histone-lysine N-methyltransferase SUV39H2,79723
P13945,ADRB3,Beta-3 adrenergic receptor,155
Q96A47,ISL2,Insulin gene enhancer protein ISL-2,64843
O43633,CHMP2A,Charged multivesicular body protein 2a,27243
Q86UD0,SAPCD2,Suppressor APC domain-containing protein 2,89958
Q07507,DPT,Dermatopontin,1805
P19447,ERCC3,General transcription and DNA repair factor IIH helicase subunit XPB,2071
Q8IZJ1,UNC5B,Netrin receptor UNC5B,219699
Q96A54,ADIPOR1,Adiponectin receptor protein 1,51094
Q9H221,ABCG8,ATP-binding cassette sub-family G member 8,64241
Q96Q42,ALS2,Alsin,57679
Q8WWY8,LIPH,Lipase member H,200879
P51797,CLCN6,Chloride transport protein 6,1185
Q99678,GPR20,G-protein coupled receptor 20,2843
P09529,INHBB,Inhibin beta B chain,3625
Q9UNX3,RPL26L1,60S ribosomal protein L26-like 1,51121
Q9H205,OR2AG1,Olfactory receptor 2AG1,144125
Q9NW15,ANO10,Anoctamin-10,55129
Q9UNH6,SNX7,Sorting nexin-7,51375
P40200,CD96,T-cell surface protein tactile,10225
Q9H6P5,TASP1,Threonine aspartase 1,55617
P15259,PGAM2,Phosphoglycerate mutase 2,5224
O95257,GADD45G,Growth arrest and DNA damage-inducible protein GADD45 gamma,10912
P10155,RO60,60 kDa SS-A/Ro ribonucleoprotein,6738
P09848,LCT,Lactase-phlorizin hydrolase,3938
Q14765,STAT4,Signal transducer and activator of transcription 4,6775
Q9H814,PHAX,Phosphorylated adapter RNA export protein,51808
Q9BWU0,SLC4A1AP,Kanadaptin,22950
P30518,AVPR2,Vasopressin V2 receptor,554
Q99999,GAL3ST1,Galactosylceramide sulfotransferase,9514
Q14687,GSE1,Genetic suppressor element 1,23199
Q9H0A6,RNF32,RING finger protein 32,140545
O95071,UBR5,E3 ubiquitin-protein ligase UBR5,51366
Q53FZ2,ACSM3,Acyl-coenzyme A synthetase ACSM3,6296
Q9NWM3,CUEDC1,CUE domain-containing protein 1,404093
Q9Y5F6,PCDHGC5,Protocadherin gamma-C5,56097
Q09MP3,RAD51AP2,RAD51-associated protein 2,729475
Q96DC7,TMCO6,Transmembrane and coiled-coil domain-containing protein 6,55374
Q8IYB9,ZNF595,Zinc finger protein 595,152687
Q13888,GTF2H2,General transcription factor IIH subunit 2,2966
Q9UK45,LSM7,U6 snRNA-associated Sm-like protein LSm7,51690
Q9Y226,SLC22A13,Solute carrier family 22 member 13,9390
O60225,SSX5,Protein SSX5,6758
Q5VTE6,ANGEL2,Protein angel homolog 2,90806
O15315,RAD51B,DNA repair protein RAD51 homolog 2,5890
P53004,BLVRA,Biliverdin reductase A,644
O60486,PLXNC1,Plexin-C1,10154
Q13405,MRPL49,39S ribosomal protein L49,740
Q6UX40,TMEM107,Transmembrane protein 107,84314
Q9H2J7,SLC6A15,Sodium-dependent neutral amino acid transporter B(0)AT2,55117
Q6ZUA9,MROH5,Maestro heat-like repeat family member 5,389690
P50747,HLCS,Biotin--protein ligase,3141
P54849,EMP1,Epithelial membrane protein 1,2012
Q6ZMV9,KIF6,Kinesin-like protein KIF6,221458
Q13609,DNASE1L3,Deoxyribonuclease gamma,1776
Q8TDN1,KCNG4,Potassium voltage-gated channel subfamily G member 4,93107
Q96JP9,CDHR1,Cadherin-related family member 1,92211
P12955,PEPD,Xaa-Pro dipeptidase,5184
Q14995,NR1D2,Nuclear receptor subfamily 1 group D member 2,9975
Q07954,LRP1,Prolow-density lipoprotein receptor-related protein 1,4035
Q8WV92,MITD1,MIT domain-containing protein 1,129531
P30304,CDC25A,M-phase inducer phosphatase 1,993
Q86SR1,GALNT10,Polypeptide N-acetylgalactosaminyltransferase 10,55568
Q9NSD9,FARSB,Phenylalanine--tRNA ligase beta subunit,10056
Q8N3F8,MICALL1,MICAL-like protein 1,85377
Q04726,TLE3,Transducin-like enhancer protein 3,7090
O75822,EIF3J,Eukaryotic translation initiation factor 3 subunit J,8669
Q8IXN7,RIMKLA,N-acetylaspartylglutamate synthase A,284716
Q6NUK1,SLC25A24,Calcium-binding mitochondrial carrier protein SCaMC-1,29957
Q9NQG7,HPS4,Hermansky-Pudlak syndrome 4 protein,89781
Q8IZF5,ADGRF3,Adhesion G-protein coupled receptor F3,165082
P07911,UMOD,Uromodulin,7369
Q13418,ILK,Integrin-linked protein kinase,3611
Q7L8S5,OTUD6A,OTU domain-containing protein 6A,139562
Q16891,IMMT,MICOS complex subunit MIC60,10989
Q96EY8,MMAB,Corrinoid adenosyltransferase,326625
Q8WUJ1,CYB5D2,Neuferricin,124936
Q9NNW5,WDR6,WD repeat-containing protein 6,11180
Q9NVI1,FANCI,Fanconi anemia group I protein,55215
Q7Z3Y8,KRT27,Keratin,342574
Q9H1B7,IRF2BPL,Probable E3 ubiquitin-protein ligase IRF2BPL,64207
Q9UJ83,HACL1,2-hydroxyacyl-CoA lyase 1,26061
Q9UHF0,TAC3,Tachykinin-3,6866
D6RIA3,C4orf54,Uncharacterized protein C4orf54,285556
Q5VWQ0,RSBN1,Lysine-specific demethylase 9,54665
Q96M27,PRRC1,Protein PRRC1,133619
Q13541,EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,1978
P02656,APOC3,Apolipoprotein C-III,345
O60333,KIF1B,Kinesin-like protein KIF1B,23095
Q96IZ6,METTL2A,tRNA N(3)-methylcytidine methyltransferase METTL2A,339175
Q9NY27,PPP4R2,Serine/threonine-protein phosphatase 4 regulatory subunit 2,151987
P55036,PSMD4,26S proteasome non-ATPase regulatory subunit 4,5710
Q8IZN3,ZDHHC14,Probable palmitoyltransferase ZDHHC14,79683
O00555,CACNA1A,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,773
Q9NY28,GALNT8,Probable polypeptide N-acetylgalactosaminyltransferase 8,26290
P61106,RAB14,Ras-related protein Rab-14,51552
Q9BZR6,RTN4R,Reticulon-4 receptor,65078
Q9BSG0,PRADC1,Protease-associated domain-containing protein 1,84279
A1E959,ODAM,Odontogenic ameloblast-associated protein,54959
Q02094,RHAG,Ammonium transporter Rh type A,6005
Q6NT16,SLC18B1,MFS-type transporter SLC18B1,116843
Q8NEA4,FBXO36,F-box only protein 36,130888
Q9ULE3,DENND2A,DENN domain-containing protein 2A,27147
Q08174,PCDH1,Protocadherin-1,5097
Q15911,ZFHX3,Zinc finger homeobox protein 3,463
Q8IWP9,CCDC28A,Coiled-coil domain-containing protein 28A,25901
Q6PEW1,ZCCHC12,Zinc finger CCHC domain-containing protein 12,170261
O43592,XPOT,Exportin-T,11260
Q5J5C9,DEFB121,Beta-defensin 121,245934
Q8IVD9,NUDCD3,NudC domain-containing protein 3,23386
Q96JQ2,CLMN,Calmin,79789
O95777,LSM8,U6 snRNA-associated Sm-like protein LSm8,51691
P17752,TPH1,Tryptophan 5-hydroxylase 1,7166
Q6ZRQ5,MMS22L,Protein MMS22-like,253714
Q15084,PDIA6,Protein disulfide-isomerase A6,10130
Q96IK1,BOD1,Biorientation of chromosomes in cell division protein 1,91272
Q9HD40,SEPSECS,O-phosphoseryl-tRNA(Sec) selenium transferase,51091
Q9H9Q2,COPS7B,COP9 signalosome complex subunit 7b,64708
Q8N539,FIBCD1,Fibrinogen C domain-containing protein 1,84929
P17927,CR1,Complement receptor type 1,1378
Q9H2A7,CXCL16,C-X-C motif chemokine 16,58191
Q92878,RAD50,DNA repair protein RAD50,10111
Q8N104,DEFB106A,Beta-defensin 106,503841
Q9UN36,NDRG2,Protein NDRG2,57447
Q9NYL5,CYP39A1,24-hydroxycholesterol 7-alpha-hydroxylase,51302
Q9NZL3,ZNF224,Zinc finger protein 224,7767
Q6ZW33,MICALCL,MICAL C-terminal-like protein,84953
Q13950,RUNX2,Runt-related transcription factor 2,860
P40199,CEACAM6,Carcinoembryonic antigen-related cell adhesion molecule 6,4680
P04090,RLN2,Prorelaxin H2,6019
O00590,ACKR2,Atypical chemokine receptor 2,1238
Q9H7U1,CCSER2,Serine-rich coiled-coil domain-containing protein 2,54462
Q99435,NELL2,Protein kinase C-binding protein NELL2,4753
Q9NP80,PNPLA8,Calcium-independent phospholipase A2-gamma,50640
O43257,ZNHIT1,Zinc finger HIT domain-containing protein 1,10467
P07358,C8B,Complement component C8 beta chain,732
Q9UIL1,SCOC,Short coiled-coil protein,60592
Q13829,TNFAIP1,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2,7126
P30154,PPP2R1B,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,5519
P25940,COL5A3,Collagen alpha-3(V) chain,50509
Q01718,MC2R,Adrenocorticotropic hormone receptor,4158
Q5VZL5,ZMYM4,Zinc finger MYM-type protein 4,9202
Q9ULJ3,ZBTB21,Zinc finger and BTB domain-containing protein 21,49854
O60888,CUTA,Protein CutA,51596
Q7Z444,ERAS,GTPase ERas,3266
Q9NYK5,MRPL39,39S ribosomal protein L39,54148
Q9HBG7,LY9,T-lymphocyte surface antigen Ly-9,4063
Q15424,SAFB,Scaffold attachment factor B1,6294
Q70CQ2,USP34,Ubiquitin carboxyl-terminal hydrolase 34,9736
Q9NYX4,CALY,Neuron-specific vesicular protein calcyon,50632
O75351,VPS4B,Vacuolar protein sorting-associated protein 4B,9525
Q13619,CUL4A,Cullin-4A,8451
Q9H334,FOXP1,Forkhead box protein P1,27086
P33240,CSTF2,Cleavage stimulation factor subunit 2,1478
P22607,FGFR3,Fibroblast growth factor receptor 3,2261
Q9NPF2,CHST11,Carbohydrate sulfotransferase 11,50515
Q9NVH0,EXD2,Exonuclease 3'-5' domain-containing protein 2,55218
Q9UJA5,TRMT6,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6,51605
P49368,CCT3,T-complex protein 1 subunit gamma,7203
Q9NZQ0,DNAJC27,DnaJ homolog subfamily C member 27,51277
O95155,UBE4B,Ubiquitin conjugation factor E4 B,10277
P12931,SRC,Proto-oncogene tyrosine-protein kinase Src,6714
Q9UBS3,DNAJB9,DnaJ homolog subfamily B member 9,4189
Q9BPX3,NCAPG,Condensin complex subunit 3,64151
Q01780,EXOSC10,Exosome component 10,5394
O43776,NARS1,Asparagine--tRNA ligase,4677
Q02818,NUCB1,Nucleobindin-1,4924
Q8TCA0,LRRC20,Leucine-rich repeat-containing protein 20,55222
Q8WXE0,CASKIN2,Caskin-2,57513
Q9BZI1,IRX2,Iroquois-class homeodomain protein IRX-2,153572
Q99757,TXN2,Thioredoxin,25828
O75129,ASTN2,Astrotactin-2,23245
P19484,TFEB,Transcription factor EB,7942
Q96RD9,FCRL5,Fc receptor-like protein 5,83416
Q9BX70,BTBD2,BTB/POZ domain-containing protein 2,55643
Q8N8U2,CDYL2,Chromodomain Y-like protein 2,124359
Q8WV93,AFG1L,AFG1-like ATPase,246269
O60291,MGRN1,E3 ubiquitin-protein ligase MGRN1,23295
O94808,GFPT2,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2,9945
Q13428,TCOF1,Treacle protein,6949
Q6QNY1,BLOC1S2,Biogenesis of lysosome-related organelles complex 1 subunit 2,282991
P20382,PMCH,Pro-MCH,5367
P63316,TNNC1,Troponin C,7134
O60826,CCDC22,Coiled-coil domain-containing protein 22,28952
Q6UXU6,TMEM92,Transmembrane protein 92,162461
O00472,ELL2,RNA polymerase II elongation factor ELL2,22936
P62987,UBA52,Ubiquitin-60S ribosomal protein L40,7311
P05093,CYP17A1,Steroid 17-alpha-hydroxylase/17,1586
Q96JN2,CCDC136,Coiled-coil domain-containing protein 136,64753
Q13568,IRF5,Interferon regulatory factor 5,3663
P52742,ZNF135,Zinc finger protein 135,7694
Q9UHJ9,PGAP2,Post-GPI attachment to proteins factor 2,27315
Q9BUX1,CHAC1,Glutathione-specific gamma-glutamylcyclotransferase 1,79094
Q9UMX2,OAZ3,Ornithine decarboxylase antizyme 3,51686
Q969P5,FBXO32,F-box only protein 32,114907
Q96B77,TMEM186,Transmembrane protein 186,25880
Q9BT73,PSMG3,Proteasome assembly chaperone 3,84262
Q9NTJ4,MAN2C1,Alpha-mannosidase 2C1,4123
Q9NZW5,MPP6,MAGUK p55 subfamily member 6,51678
Q9UJQ4,SALL4,Sal-like protein 4,57167
B2RTY4,MYO9A,Unconventional myosin-IXa,4649
Q93062,RBPMS,RNA-binding protein with multiple splicing,11030
Q9NSG2,C1orf112,Uncharacterized protein C1orf112,55732
O60337,MARCH6,E3 ubiquitin-protein ligase MARCH6,10299
A4D0S4,LAMB4,Laminin subunit beta-4,22798
Q9P2P5,HECW2,E3 ubiquitin-protein ligase HECW2,57520
Q16795,NDUFA9,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9,4704
Q01433,AMPD2,AMP deaminase 2,271
O15294,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,8473
Q03001,DST,Dystonin,667
P04746,AMY2A,Pancreatic alpha-amylase,279
Q96PC2,IP6K3,Inositol hexakisphosphate kinase 3,117283
Q2M3G4,SHROOM1,Protein Shroom1,134549
Q8N187,CARF,Calcium-responsive transcription factor,79800
Q6PUV4,CPLX2,Complexin-2,10814
O43166,SIPA1L1,Signal-induced proliferation-associated 1-like protein 1,26037
Q8NFN8,GPR156,Probable G-protein coupled receptor 156,165829
Q69YU5,C12orf73,Uncharacterized protein C12orf73,728568
P35070,BTC,Probetacellulin,685
Q86TJ2,TADA2B,Transcriptional adapter 2-beta,93624
Q9Y520,PRRC2C,Protein PRRC2C,23215
Q9Y3X0,CCDC9,Coiled-coil domain-containing protein 9,26093
Q9H426,RIMS4,Regulating synaptic membrane exocytosis protein 4,140730
P20226,TBP,TATA-box-binding protein,6908
Q14108,SCARB2,Lysosome membrane protein 2,950
P26441,CNTF,Ciliary neurotrophic factor,1270
Q13557,CAMK2D,Calcium/calmodulin-dependent protein kinase type II subunit delta,817
Q9NR21,PARP11,Protein mono-ADP-ribosyltransferase PARP11,57097
Q03692,COL10A1,Collagen alpha-1(X) chain,1300
Q5M775,SPECC1,Cytospin-B,92521
P32322,PYCR1,Pyrroline-5-carboxylate reductase 1,5831
Q15120,PDK3,[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3,5165
Q69YQ0,SPECC1L,Cytospin-A,23384
Q9UNP4,ST3GAL5,Lactosylceramide alpha-2,8869
Q99807,COQ7,5-demethoxyubiquinone hydroxylase,10229
Q5JTJ3,COA6,Cytochrome c oxidase assembly factor 6 homolog,388753
P18615,NELFE,Negative elongation factor E,7936
Q05586,GRIN1,Glutamate receptor ionotropic,2902
Q96DU3,SLAMF6,SLAM family member 6,114836
Q9NVR0,KLHL11,Kelch-like protein 11,55175
P78352,DLG4,Disks large homolog 4,1742
P07148,FABP1,Fatty acid-binding protein,2168
Q16678,CYP1B1,Cytochrome P450 1B1,1545
P61758,VBP1,Prefoldin subunit 3,7411
Q8IXZ2,ZC3H3,Zinc finger CCCH domain-containing protein 3,23144
Q06323,PSME1,Proteasome activator complex subunit 1,5720
O75964,ATP5MG,ATP synthase subunit g,10632
Q15853,USF2,Upstream stimulatory factor 2,7392
A6NCF5,KLHL33,Kelch-like protein 33,123103
Q9GZU7,CTDSP1,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,58190
P01229,LHB,Lutropin subunit beta,3972
P21333,FLNA,Filamin-A,2316
Q9NSC7,ST6GALNAC1,Alpha-N-acetylgalactosaminide alpha-2,55808
Q9BY12,SCAPER,S phase cyclin A-associated protein in the endoplasmic reticulum,49855
P26885,FKBP2,Peptidyl-prolyl cis-trans isomerase FKBP2,2286
P0DP57,SLURP2,Secreted Ly-6/uPAR domain-containing protein 2,432355
Q8TD86,CALML6,Calmodulin-like protein 6,163688
Q8TF47,ZFP90,Zinc finger protein 90 homolog,146198
Q96HA8,WDYHV1,Protein N-terminal glutamine amidohydrolase,55093
Q96A09,TENT5B,Terminal nucleotidyltransferase 5B,115572
Q96MN5,TCEANC2,Transcription elongation factor A N-terminal and central domain-containing protein 2,127428
Q14973,SLC10A1,Sodium/bile acid cotransporter,6554
Q8TCT9,HM13,Minor histocompatibility antigen H13,81502
Q96KN7,RPGRIP1,X-linked retinitis pigmentosa GTPase regulator-interacting protein 1,57096
O95198,KLHL2,Kelch-like protein 2,11275
Q9NQ66,PLCB1,1-phosphatidylinositol 4,23236
Q12815,TROAP,Tastin,10024
P09105,HBQ1,Hemoglobin subunit theta-1,3049
Q8TAK5,GABPB2,GA-binding protein subunit beta-2,126626
Q15651,HMGN3,High mobility group nucleosome-binding domain-containing protein 3,9324
Q9HAH1,ZNF556,Zinc finger protein 556,80032
Q96A35,MRPL24,39S ribosomal protein L24,79590
P17482,HOXB9,Homeobox protein Hox-B9,3219
Q86UY6,NAA40,N-alpha-acetyltransferase 40,79829
Q92750,TAF4B,Transcription initiation factor TFIID subunit 4B,6875
Q9NVK5,FGFR1OP2,FGFR1 oncogene partner 2,26127
O15027,SEC16A,Protein transport protein Sec16A,9919
Q9BR39,JPH2,Junctophilin-2,57158
Q7Z6A9,BTLA,B- and T-lymphocyte attenuator,151888
P10321,HLA-C,HLA class I histocompatibility antigen,3107
Q2NKX8,ERCC6L,DNA excision repair protein ERCC-6-like,54821
Q9BX79,STRA6,Receptor for retinol uptake STRA6,64220
P49674,CSNK1E,Casein kinase I isoform epsilon,1454
Q9P2B7,CFAP97,Cilia- and flagella-associated protein 97,57587
Q5VUB5,FAM171A1,Protein FAM171A1,221061
Q9H251,CDH23,Cadherin-23,64072
P09211,GSTP1,Glutathione S-transferase P,2950
Q96HR9,REEP6,Receptor expression-enhancing protein 6,92840
Q86SQ9,DHDDS,Dehydrodolichyl diphosphate synthase complex subunit DHDDS,79947
P18433,PTPRA,Receptor-type tyrosine-protein phosphatase alpha,5786
Q9BWN1,PRR14,Proline-rich protein 14,78994
Q7RTX1,TAS1R1,Taste receptor type 1 member 1,80835
Q99675,CGRRF1,Cell growth regulator with RING finger domain protein 1,10668
Q8N8V2,GBP7,Guanylate-binding protein 7,388646
Q49A88,CCDC14,Coiled-coil domain-containing protein 14,64770
P51681,CCR5,C-C chemokine receptor type 5,1234
Q6PFW1,PPIP5K1,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1,9677
Q06730,ZNF33A,Zinc finger protein 33A,7581
Q9NVR7,TBCCD1,TBCC domain-containing protein 1,55171
Q9H7J1,PPP1R3E,Protein phosphatase 1 regulatory subunit 3E,90673
Q96C57,CUSTOS,Protein CUSTOS,64897
Q9NX05,FAM120C,Constitutive coactivator of PPAR-gamma-like protein 2,54954
Q8TE04,PANK1,Pantothenate kinase 1,53354
Q08AN1,ZNF616,Zinc finger protein 616,90317
Q96M91,CFAP53,Cilia- and flagella-associated protein 53,220136
Q8TC12,RDH11,Retinol dehydrogenase 11,51109
P07360,C8G,Complement component C8 gamma chain,733
Q5TGY1,TMCO4,Transmembrane and coiled-coil domain-containing protein 4,255104
Q16602,CALCRL,Calcitonin gene-related peptide type 1 receptor,10203
Q9Y4C4,MFHAS1,Malignant fibrous histiocytoma-amplified sequence 1,9258
O95382,MAP3K6,Mitogen-activated protein kinase kinase kinase 6,9064
P60981,DSTN,Destrin,11034
Q86WK6,AMIGO1,Amphoterin-induced protein 1,57463
Q9BTW9,TBCD,Tubulin-specific chaperone D,6904
Q96JM7,L3MBTL3,Lethal(3)malignant brain tumor-like protein 3,84456
Q99759,MAP3K3,Mitogen-activated protein kinase kinase kinase 3,4215
Q6K0P9,PYHIN1,Pyrin and HIN domain-containing protein 1,149628
Q9NWQ4,GPATCH2L,G patch domain-containing protein 2-like,55668
Q68DY1,ZNF626,Zinc finger protein 626,199777
Q14D04,VEPH1,Ventricular zone-expressed PH domain-containing protein homolog 1,79674
Q14028,CNGB1,Cyclic nucleotide-gated cation channel beta-1,1258
P19878,NCF2,Neutrophil cytosol factor 2,4688
Q9BTC8,MTA3,Metastasis-associated protein MTA3,57504
P21359,NF1,Neurofibromin,4763
Q99836,MYD88,Myeloid differentiation primary response protein MyD88,4615
Q8WXB4,ZNF606,Zinc finger protein 606,80095
Q9BTP7,FAAP24,Fanconi anemia core complex-associated protein 24,91442
Q14642,INPP5A,Inositol polyphosphate-5-phosphatase A,3632
Q9NS73,MBIP,MAP3K12-binding inhibitory protein 1,51562
Q17RY0,CPEB4,Cytoplasmic polyadenylation element-binding protein 4,80315
Q9H313,TTYH1,Protein tweety homolog 1,57348
Q0D2J5,ZNF763,Zinc finger protein 763,284390
Q13201,MMRN1,Multimerin-1,22915
Q9NPD7,NRN1,Neuritin,51299
O94905,ERLIN2,Erlin-2,11160
Q9H0L4,CSTF2T,Cleavage stimulation factor subunit 2 tau variant,23283
Q15059,BRD3,Bromodomain-containing protein 3,8019
Q16653,MOG,Myelin-oligodendrocyte glycoprotein,4340
Q01954,BNC1,Zinc finger protein basonuclin-1,646
Q53QW1,TEX44,Testis-expressed protein 44,165100
Q16674,MIA,Melanoma-derived growth regulatory protein,8190
Q9H972,C14orf93,Uncharacterized protein C14orf93,60686
Q9NR11,ZNF302,Zinc finger protein 302,55900
Q86TS9,MRPL52,39S ribosomal protein L52,122704
Q86VS3,IQCH,IQ domain-containing protein H,64799
Q9UKV3,ACIN1,Apoptotic chromatin condensation inducer in the nucleus,22985
Q13231,CHIT1,Chitotriosidase-1,1118
P0CG30,GSTT2B,Glutathione S-transferase theta-2B,653689
Q99536,VAT1,Synaptic vesicle membrane protein VAT-1 homolog,10493
Q96PU5,NEDD4L,E3 ubiquitin-protein ligase NEDD4-like,23327
Q96SL1,SLC49A4,Solute carrier family 49 member 4,84925
Q6NX49,ZNF544,Zinc finger protein 544,27300
Q16816,PHKG1,Phosphorylase b kinase gamma catalytic chain,5260
P17038,ZNF43,Zinc finger protein 43,7594
Q96PP4,TSGA13,Testis-specific gene 13 protein,114960
P42127,ASIP,Agouti-signaling protein,434
O75290,ZNF780A,Zinc finger protein 780A,284323
Q05397,PTK2,Focal adhesion kinase 1,5747
Q9P2G1,ANKIB1,Ankyrin repeat and IBR domain-containing protein 1,54467
Q7Z4T8,GALNTL5,Inactive polypeptide N-acetylgalactosaminyltransferase-like protein 5,168391
Q96PV0,SYNGAP1,Ras/Rap GTPase-activating protein SynGAP,8831
O75578,ITGA10,Integrin alpha-10,8515
P49815,TSC2,Tuberin,7249
Q8TDB6,DTX3L,E3 ubiquitin-protein ligase DTX3L,151636
Q6PB30,CSAG1,Putative chondrosarcoma-associated gene 1 protein,158511
Q9H3R2,MUC13,Mucin-13,56667
Q9H3H1,TRIT1,tRNA dimethylallyltransferase,54802
Q2NL98,VMAC,Vimentin-type intermediate filament-associated coiled-coil protein,400673
P35236,PTPN7,Tyrosine-protein phosphatase non-receptor type 7,5778
Q99758,ABCA3,ATP-binding cassette sub-family A member 3,21
Q07092,COL16A1,Collagen alpha-1(XVI) chain,1307
Q14872,MTF1,Metal regulatory transcription factor 1,4520
Q9P2C4,TMEM181,Transmembrane protein 181,57583
Q9P021,CRIPT,Cysteine-rich PDZ-binding protein,9419
P0C5J1,FAM86B2,Putative protein N-methyltransferase FAM86B2,653333
Q96EK6,GNPNAT1,Glucosamine 6-phosphate N-acetyltransferase,64841
Q8TCC7,SLC22A8,Solute carrier family 22 member 8,9376
P31995,FCGR2C,Low affinity immunoglobulin gamma Fc region receptor II-c,9103
P24592,IGFBP6,Insulin-like growth factor-binding protein 6,3489
Q9H2G2,SLK,STE20-like serine/threonine-protein kinase,9748
Q9NPG3,UBN1,Ubinuclein-1,29855
Q9UHD2,TBK1,Serine/threonine-protein kinase TBK1,29110
P38405,GNAL,Guanine nucleotide-binding protein G(olf) subunit alpha,2774
